                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4766,                 1.0285,                 1.2701,                0.73992,                0.67003,                  0.677,                0.34465,                 1.6981,                 1.0032,                 1.4284,             0.00049529,             0.00049529,             0.00049529
                     35,                  1.493,                 1.0258,                 1.2773,                0.82574,                0.61063,                0.66457,                 0.3537,                 1.6738,                 1.0232,                 1.4214,               0.000467,               0.000467,               0.000467
                     36,                 1.4708,                 1.0114,                 1.2647,                0.69351,                0.63005,                0.65195,                0.34144,                 1.6646,                0.99171,                 1.4119,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.4597,                0.99309,                 1.2545,                0.73391,                0.61935,                0.63601,                0.34715,                 1.6766,                0.99612,                 1.4233,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.4412,                0.99236,                 1.2496,                0.75484,                0.65348,                0.70225,                0.36617,                 1.6805,                0.97833,                 1.4226,             0.00038211,             0.00038211,             0.00038211
                     39,                  1.434,                0.98046,                 1.2422,                0.79117,                0.68804,                0.69215,                0.36712,                 1.6786,                0.96928,                 1.4181,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.4505,                0.97673,                 1.2508,                0.68986,                0.68875,                0.68092,                0.37731,                 1.6444,                0.97004,                 1.4031,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.4316,                0.92743,                  1.272,                0.70161,                 0.6482,                 0.6528,                0.36145,                 1.6549,                0.97726,                 1.4029,             0.00029723,             0.00029723,             0.00029723
                     42,                  1.426,                0.89957,                 1.2699,                0.83509,                0.65014,                0.69901,                0.36529,                 1.6745,                0.96898,                 1.4143,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.3954,                0.87752,                 1.2519,                0.65593,                0.72833,                0.69699,                0.37641,                 1.6516,                0.96195,                 1.4074,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.3961,                 0.8749,                 1.2559,                 0.7073,                0.68138,                0.69984,                0.37288,                 1.6661,                0.96618,                 1.4112,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.3884,                0.86173,                 1.2595,                0.77794,                0.68599,                0.70636,                0.37861,                  1.656,                0.96819,                 1.4156,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.3765,                0.85663,                 1.2389,                0.82542,                0.67118,                0.71442,                0.37928,                 1.6542,                0.94424,                   1.41,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.3706,                0.84001,                  1.242,                0.82442,                0.70539,                0.71558,                0.38579,                 1.6449,                0.94435,                 1.4064,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.3685,                0.84005,                  1.245,                0.81908,                0.67735,                0.72797,                0.40432,                 1.6336,                0.92549,                  1.402,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.3606,                0.82984,                 1.2343,                0.75527,                0.71136,                0.72232,                0.38913,                 1.6374,                0.93545,                 1.4037,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.3605,                0.82939,                  1.242,                0.83154,                0.69052,                0.72208,                 0.3902,                 1.6283,                0.92995,                 1.3987,             4.2584e-05,             4.2584e-05,             4.2584e-05
