                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3904,                0.87114,                  1.255,                0.69977,                0.61998,                0.65544,                0.34582,                 1.7212,                 1.0372,                 1.4601,             0.00047127,             0.00047127,             0.00047127
                      2,                 1.4807,                0.95932,                 1.3008,                0.54999,                0.61582,                0.56045,                 0.2815,                 1.7855,                  1.119,                 1.5011,             0.00093822,             0.00093822,             0.00093822
                      3,                 1.5351,                 1.0238,                 1.3274,                0.56671,                0.58171,                0.56432,                 0.2878,                 1.7769,                 1.1047,                  1.477,              0.0013957,              0.0013957,              0.0013957
                      4,                 1.5703,                 1.0775,                 1.3488,                0.51154,                0.58156,                0.55105,                0.27615,                 1.7837,                 1.1198,                 1.5024,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5842,                 1.0799,                 1.3649,                0.56818,                0.52514,                0.55285,                0.28401,                 1.7938,                 1.1368,                 1.4786,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.5692,                 1.0516,                 1.3518,                0.71521,                0.53553,                0.58036,                0.28667,                 1.8371,                  1.111,                 1.5246,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.5683,                 1.0399,                 1.3587,                 0.5657,                0.60708,                0.58039,                 0.2804,                 1.7909,                 1.0909,                 1.4928,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5712,                 1.0359,                 1.3517,                0.73231,                0.53472,                0.58971,                0.29799,                 1.7587,                 1.0921,                 1.4817,                0.00133,                0.00133,                0.00133
                      9,                 1.5561,                 1.0268,                 1.3374,                0.61439,                0.63059,                0.60756,                0.30906,                  1.725,                 1.0407,                  1.458,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.5474,                 1.0171,                 1.3377,                 0.6773,                0.60928,                0.60802,                0.29427,                 1.8113,                 1.1175,                  1.498,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.5592,                  1.022,                 1.3505,                0.76845,                0.55147,                0.60222,                0.30566,                 1.7864,                 1.1017,                 1.4928,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.5485,                 1.0149,                 1.3477,                0.71089,                0.61577,                 0.6021,                0.31024,                 1.7533,                 1.0659,                 1.4704,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.5232,                 0.9725,                 1.3231,                0.60731,                0.60908,                 0.5682,                0.29148,                 1.7679,                 1.0402,                 1.4928,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.5269,                0.97377,                  1.338,                0.63163,                0.59032,                0.57533,                 0.3055,                 1.7417,                 1.0309,                 1.4812,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.5172,                0.96553,                 1.3258,                 0.5962,                0.64255,                0.60199,                0.30369,                 1.7556,                 1.0719,                 1.4812,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.5105,                0.95614,                 1.3204,                0.60414,                0.49933,                0.53764,                 0.2819,                 1.7421,                 1.1202,                 1.4655,              0.0012168,              0.0012168,              0.0012168
                     17,                  1.481,                0.93843,                  1.298,                0.50508,                0.68033,                0.57552,                0.30294,                 1.7217,                 1.0045,                 1.4566,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.4817,                0.92616,                 1.2934,                0.73817,                0.60392,                0.63174,                0.33316,                 1.7522,                 1.0398,                 1.4674,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.4852,                0.93153,                 1.2974,                0.71872,                0.61792,                   0.62,                0.32698,                 1.7158,                 1.0038,                  1.444,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.4662,                0.92104,                 1.2959,                0.81088,                0.59829,                0.63042,                0.32715,                 1.7311,                 1.0059,                 1.4603,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.4735,                 0.9148,                 1.2947,                0.56464,                0.53413,                0.56251,                0.30323,                 1.7091,                0.99583,                 1.4511,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.4696,                0.91597,                 1.2964,                0.72078,                0.55173,                0.60357,                0.31108,                 1.7072,                 1.0186,                 1.4651,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.4502,                0.90225,                  1.284,                0.69183,                0.54482,                0.62768,                 0.3292,                 1.7357,                 1.0101,                 1.4724,              0.0011178,              0.0011178,              0.0011178
                     24,                  1.449,                0.88924,                 1.2956,                0.58964,                0.60891,                0.60352,                0.30933,                 1.7185,                 1.0072,                 1.4624,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.4527,                0.88466,                 1.2841,                0.59002,                0.63167,                0.58285,                0.29699,                 1.7252,                0.99973,                 1.4619,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.4488,                0.88011,                 1.2928,                0.58295,                0.66611,                0.58596,                0.31035,                 1.7119,                 1.0059,                 1.4481,              0.0010753,              0.0010753,              0.0010753
                     27,                  1.423,                 0.8646,                 1.2716,                0.63069,                0.61566,                0.62056,                0.33474,                 1.7102,                 0.9711,                 1.4519,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.4425,                0.86444,                  1.274,                0.68575,                0.58348,                0.59643,                0.31377,                 1.6819,                0.97408,                 1.4286,               0.001047,               0.001047,               0.001047
                     29,                 1.4304,                 0.8652,                 1.2787,                0.68297,                0.61669,                0.62691,                0.32034,                 1.7301,                0.99899,                  1.462,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.4117,                0.85131,                  1.267,                0.56908,                 0.6843,                0.62366,                0.33608,                 1.7006,                0.95216,                 1.4558,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.4042,                0.84021,                 1.2637,                0.77056,                0.68878,                0.67023,                0.35875,                 1.7142,                0.97457,                 1.4555,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.3862,                 0.8409,                 1.2586,                0.78541,                0.59563,                0.64402,                0.35409,                 1.7013,                0.95541,                 1.4432,             0.00099044,             0.00099044,             0.00099044
                     33,                  1.391,                0.83297,                  1.247,                0.64184,                0.62629,                0.59704,                0.32096,                 1.7018,                0.97655,                 1.4514,             0.00097629,             0.00097629,             0.00097629
