                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6883,                 2.4672,                  2.936,                0.42529,                0.70244,                0.45261,                0.22992,                 1.3873,                 1.7606,                 3.2412,              0.0004727,              0.0004727,              0.0004727
                      2,                 1.2836,                 1.6867,                 2.6901,                0.45435,                0.75611,                 0.5207,                0.31387,                  1.212,                 1.5595,                 3.0305,             0.00047926,             0.00047926,             0.00047926
